SHORTNAME,RA,DEC,DISCOVERYNAME,DISCOVERYREFNAME,SOURCE_ID,DISTARCSEC,MULTIPLEFLAGNAME,MULTIPLEFLAGREFNAME,SPTOPTNAME,SPTOPTREFNAME,SPTNIRNAME,SPTNIRREFNAME,SPTPHONAME,SPTPHOREFNAME,LIT_PARALLAX,LIT_PARALLAX_ERROR,LIT_PARALLAXREFNAME,TMASSJ,TMASSJERR,TMASSH,TMASSHERR,TMASSK,TMASSKERR,WISEW1,WISEW1ERR,WISEW2,WISEW2ERR,WISEW3,WISEW3ERR,GUNNG,GUNNGERR,GUNNR,GUNNRERR,GUNNI,GUNNIERR,GUNNZ,GUNNZERR,GUNNY,GUNNYERR,PHOT_G_MEAN_MAG,PHOT_G_MEAN_MAG_ERROR,PHOT_G_MEAN_FLUX,PHOT_G_MEAN_FLUX_ERROR,PHOT_BP_MEAN_MAG,PHOT_BP_MEAN_MAG_ERROR,PHOT_BP_MEAN_FLUX,PHOT_BP_MEAN_FLUX_ERROR,PHOT_RP_MEAN_MAG,PHOT_RP_MEAN_MAG_ERROR,PHOT_RP_MEAN_FLUX,PHOT_RP_MEAN_FLUX_ERROR,GAIAGEST,PARALLAX,PARALLAX_ERROR,PMRA,PMRA_ERROR,PMDEC,PMDEC_ERROR,LIT_RA,LIT_DEC,DISTMOD
 J1746+5034  , 266.551844730 ,  50.567698452 ,   2MASS 17461199+5034036  , 2008AJ....136.1290R ,  1367315968397315584 ,   0.20 ,            ,                     ,        L5  , 2008AJ....136.1290R ,      L5.5  , 2014APJ...794..143B ,       ...  ,                ...  , -99999.000 , -99999.000 ,                ...  ,     15.096 ,      0.058 ,     14.047 ,      0.055 ,     13.529 ,      0.044 ,     12.876 ,      0.023 ,     12.561 ,      0.022 ,     12.132 ,      0.220 , -99999.000 , -99999.000 ,     21.843 ,      0.068 ,     20.079 ,      0.015 ,     18.210 ,      0.018 ,     17.170 ,      0.007 ,     20.270 ,      0.133 ,      147.0 ,     1.0 ,     21.501 ,      4.055 ,       34.7 ,     6.5 ,     18.475 ,      0.635 ,      327.1 ,    11.2 ,     20.341 ,    48.28 ,  0.55 ,   290.86 ,  1.12 ,    19.63 ,  1.19 , 266.549990000 ,  50.567673000 ,   -1.58
 J1750-0016  , 267.601667205 ,  -0.269982034 ,   2MASS 17502484-0016151  , 2007A&A...466.1059K ,  4371611781971072768 ,   0.20 ,            ,                     ,       ...  ,                ...  ,      L5.5  , 2007A&A...466.1059K ,       ...  ,                ...  ,    108.460 ,      2.588 , 2011AJ....141...54A ,     13.294 ,      0.023 ,     12.411 ,      0.022 ,     11.849 ,      0.021 ,     11.182 ,      0.023 ,     10.906 ,      0.019 ,     10.287 ,      0.069 , -99999.000 , -99999.000 ,     20.200 ,      0.017 ,     18.215 ,      0.006 ,     16.341 ,      0.007 ,     15.356 ,      0.006 ,     18.294 ,      0.067 ,      907.2 ,     3.3 ,        NaN ,        NaN ,        NaN ,     NaN ,        NaN ,        NaN ,        NaN ,     NaN ,     18.600 ,   108.27 ,  0.26 ,  -397.15 ,  0.46 ,   197.92 ,  0.40 , 267.601730000 ,  -0.270007970 ,    0.17
 J1753-6559  , 268.437718213 , -66.000270056 ,   2MASS 17534518-6559559  , 2008AJ....136.1290R ,  5908794218026022144 ,   0.08 ,            ,                     ,      L4::  , 2008AJ....136.1290R ,       L4:  , 2013AJ....146..161M ,       ...  ,                ...  ,     58.000 ,      4.900 , 2013AJ....146..161M ,     14.095 ,      0.028 ,     13.108 ,      0.027 ,     12.424 ,      0.029 ,     11.849 ,      0.024 ,     11.532 ,      0.022 ,     11.032 ,      0.099 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 ,     19.344 ,      0.048 ,      344.8 ,     0.9 ,     21.260 ,      2.660 ,       43.3 ,     5.4 ,     17.712 ,      0.182 ,      660.7 ,     6.8 ,     19.144 ,    63.82 ,  0.32 ,   -52.88 ,  0.34 ,  -341.97 ,  0.46 , 268.438260000 , -65.998863000 ,   -0.98
 J1756+2815  , 269.041875372 ,  28.254732142 ,   2MASS 17561080+2815238  , 2010APJS..190..100K ,  4584405146372926720 ,   0.36 ,            ,                     ,     L1 sd  , 2010APJS..190..100K , L1 p(blue) , 2010APJS..190..100K ,       ...  ,                ...  , -99999.000 , -99999.000 ,                ...  ,     14.712 ,      0.033 ,     14.135 ,      0.041 ,     13.813 ,      0.041 ,     13.384 ,      0.024 ,     13.068 ,      0.026 ,     12.578 ,      0.410 , -99999.000 , -99999.000 , -99999.000 , -99999.000 ,     19.038 ,      0.003 , -99999.000 , -99999.000 ,     16.453 ,      0.015 ,     19.403 ,      0.068 ,      326.6 ,     1.1 ,     21.339 ,      4.528 ,       40.3 ,     8.5 ,     17.709 ,      0.209 ,      662.5 ,     7.8 ,     19.756 ,    28.94 ,  0.37 ,  -613.74 ,  0.57 ,  -413.40 ,  0.67 , 269.041970000 ,  28.254791000 ,   -2.69
 J1756-4805  , 269.234696878 , -48.085879542 ,  DENIS-P J1756561-480509  , 2008MNRAS.383..831P ,  5947766235872922624 ,   0.16 ,            ,                     ,        L0  , 2008MNRAS.383..831P ,       ...  ,                ...  ,       ...  ,                ...  ,     47.039 ,      0.058 , 2014A&A...565A..20S ,     13.409 ,      0.022 ,     12.709 ,      0.023 ,     12.190 ,      0.021 ,     11.876 ,      0.024 ,     11.626 ,      0.022 ,     11.061 ,      0.124 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 ,     18.190 ,      0.067 ,      998.8 ,     3.7 ,        NaN ,        NaN ,        NaN ,     NaN ,        NaN ,        NaN ,        NaN ,     NaN ,     18.240 ,    47.15 ,  0.23 ,    77.11 ,  0.40 ,    29.86 ,  0.38 , 269.234160000 , -48.086018000 ,   -1.63
 J1800-1559  , 270.004829604 , -15.991265838 ,   2MASS 18000116-1559235  , 2012MNRAS.427.3280F ,  4145132555890838784 ,   0.15 ,            ,                     ,      L5.5  , 2012MNRAS.427.3280F ,      L4.5  , 2014APJ...794..143B ,       ...  ,                ...  , -99999.000 , -99999.000 ,                ...  ,     13.431 ,      0.024 ,     12.521 ,      0.030 ,     11.981 ,      0.030 ,     11.341 ,      0.027 ,     11.144 ,      0.026 ,     11.088 ,      0.206 , -99999.000 , -99999.000 , -99999.000 , -99999.000 ,     18.316 ,      0.028 ,     16.724 ,      0.009 ,     15.641 ,      0.004 ,     18.616 ,      0.055 ,      674.4 ,     2.0 ,     20.075 ,      2.608 ,      129.0 ,    16.8 ,     16.795 ,      0.413 ,     1536.8 ,    37.8 ,     18.750 ,    80.90 ,  0.34 ,    -7.45 ,  0.58 ,  -296.09 ,  0.49 , 270.004850000 , -15.989866000 ,   -0.46
 J1800+0134  , 270.111119194 ,   1.580817257 , WISEP J180026.60+013453.1 , 2011APJ...736L..34G ,  4468009917744160000 ,   0.26 ,            ,                     ,       ...  ,                ...  ,      L7.5  , 2011APJ...736L..34G ,       ...  ,                ...  , -99999.000 , -99999.000 ,                ...  ,     14.298 ,      0.036 ,     13.120 ,      0.036 ,     12.421 ,      0.024 ,     11.543 ,      0.022 ,     11.073 ,      0.019 ,      9.977 ,      0.067 , -99999.000 , -99999.000 ,     21.865 ,      0.179 ,     19.926 ,      0.014 ,     17.443 ,      0.006 ,     16.417 ,      0.018 ,     19.552 ,      0.126 ,      284.8 ,     1.8 ,        NaN ,        NaN ,        NaN ,     NaN ,        NaN ,        NaN ,        NaN ,     NaN ,     19.614 ,   127.44 ,  0.66 ,   183.13 ,  1.31 ,  -382.81 ,  1.46 , 270.111100000 ,   1.580873600 ,    0.53
 J1807+5015  , 271.816572024 ,  50.258197767 ,   2MASSI J1807159+501531  , 2003AJ....126.2421C ,  2123161836615550848 ,   0.14 ,            ,                     ,      L1.5  , 2003AJ....126.2421C ,        L1  , 2003IAUS..211..197W ,       ...  ,                ...  ,     77.250 ,      1.480 , 2014PASP..126...15W ,     12.934 ,      0.024 ,     12.127 ,      0.031 ,     11.602 ,      0.025 ,     11.246 ,      0.023 ,     10.971 ,      0.021 ,     10.505 ,      0.056 ,     21.955 ,      0.061 ,     19.748 ,      0.013 ,     17.375 ,      0.003 ,     15.925 ,      0.005 ,     14.936 ,      0.006 ,     17.807 ,      0.028 ,     1420.5 ,     2.2 ,     20.931 ,      2.640 ,       58.6 ,     7.4 ,     16.193 ,      0.091 ,     2676.0 ,    15.1 ,     17.986 ,    68.33 ,  0.13 ,    24.49 ,  0.25 ,  -136.91 ,  0.27 , 271.816410000 ,  50.258801000 ,   -0.83
 J1821+1414  , 275.368333941 ,  14.232507620 ,   2MASS 18212815+1414010  , 2008APJ...685.1183L ,  4485574134969389312 ,   0.15 ,            ,                     ,      L4.5  , 2008APJ...685.1183L , L5 p(red)  , 2010APJS..190..100K ,       ...  ,                ...  ,    106.650 ,      0.200 , 2016MNRAS.455..357S ,     13.431 ,      0.024 ,     12.396 ,      0.019 ,     11.650 ,      0.021 ,     10.853 ,      0.023 ,     10.475 ,      0.020 ,      9.928 ,      0.052 , -99999.000 , -99999.000 ,     20.646 ,      0.061 ,     18.448 ,      0.009 ,     16.701 ,      0.005 ,     15.669 ,      0.006 ,     18.684 ,      0.040 ,      633.7 ,     1.4 ,     21.353 ,      3.702 ,       39.7 ,     6.9 ,     17.009 ,      0.154 ,     1262.0 ,    11.4 ,     18.563 ,   106.87 ,  0.25 ,   227.32 ,  0.54 ,  -246.41 ,  0.55 , 275.367310000 ,  14.233623000 ,    0.14
 J1835+3299  , 278.907460882 ,  32.994892033 ,            LSRJ1835+3259  , 2002AJ....124.1190L ,  2091177593123254016 ,   0.30 ,            ,                     ,      M8.5  , 2007AJ....133.2258S ,       ...  ,                ...  ,    -99999. ,            -99999.  , -99999.000 , -99999.000 ,            -99999.  ,     10.270 ,      0.022 ,      9.617 ,      0.021 ,      9.171 ,      0.018 ,      8.837 ,      0.022 ,      8.560 ,      0.020 ,      8.161 ,      0.020 , -99999.000 , -99999.000 , -99999.000 , -99999.000 ,     14.432 ,      0.002 , -99999.000 , -99999.000 , -99999.000 , -99999.000 ,     14.869 ,      0.013 ,    21264.6 ,    18.1 ,     18.444 ,      0.283 ,      579.2 ,     8.9 ,     13.285 ,      0.047 ,    38988.6 ,   136.8 ,     14.977 ,   175.82 ,  0.09 ,   -72.84 ,  0.15 ,  -754.84 ,  0.15 , 278.907925000 ,  32.998497000 ,    1.23
 J1843+4060  , 280.841505810 ,  40.675141296 ,                  V492Lyr  , 1976LHS...C......0L ,  2098514324976071424 ,   0.26 ,            ,                     ,      M8.0  , 2007AJ....133.2258S ,       ...  ,                ...  ,    -99999. ,            -99999.  , -99999.000 , -99999.000 ,            -99999.  ,     11.313 ,      0.022 ,     10.688 ,      0.021 ,     10.308 ,      0.018 ,     10.080 ,      0.022 ,      9.874 ,      0.019 ,      9.620 ,      0.032 ,     18.867 ,      0.000 ,     17.467 ,      0.012 ,     14.840 ,      0.002 ,     13.587 ,      0.005 ,     12.905 ,      0.010 ,     15.431 ,      0.013 ,    12673.1 ,    10.8 ,     18.517 ,      0.356 ,      541.9 ,    10.4 ,     13.913 ,      0.059 ,    21855.2 ,    93.4 ,     15.882 ,    69.46 ,  0.09 ,  -120.47 ,  0.15 ,   591.59 ,  0.16 , 280.842225000 ,  40.672493000 ,   -0.79
 J1851+5935  , 282.757698929 ,  59.586328206 , WISE J185101.83+593508.6  , 2013PASP..115..809T ,  2156140966334260096 ,   0.17 ,            ,                     ,       ...  ,                ...  ,      L9 p  , 2013PASP..115..809T ,       ...  ,                ...  , -99999.000 , -99999.000 ,                ...  ,     14.939 ,      0.036 ,     13.966 ,      0.034 ,     13.459 ,      0.045 ,     12.655 ,      0.024 ,     12.178 ,      0.022 ,     11.371 ,      0.084 , -99999.000 , -99999.000 ,     21.164 ,      0.363 ,     20.372 ,      0.031 ,     18.355 ,      0.012 ,     17.144 ,      0.009 ,     20.373 ,      0.173 ,      133.8 ,     1.1 ,     21.043 ,      4.628 ,       52.9 ,    11.6 ,     18.506 ,      0.974 ,      317.9 ,    16.7 ,     20.513 ,    48.85 ,  0.65 ,    28.44 ,  1.72 ,   426.56 ,  1.83 , 282.757690000 ,  59.586265000 ,   -1.56
 J1906+4011  , 286.702783227 ,  40.184945906 , WISEP J190648.47+401106.8 , 2011AJ....142..171G ,  2100693797539808896 ,   0.27 ,            ,                     ,       ...  ,                ...  ,        L1  , 2011AJ....142..171G ,       ...  ,                ...  , -99999.000 , -99999.000 ,                ...  ,     13.078 ,      0.020 ,     12.260 ,      0.021 ,     11.771 ,      0.016 ,     11.463 ,      0.023 ,     11.246 ,      0.020 ,     10.803 ,      0.077 ,     22.096 ,      0.023 ,     19.347 ,      0.025 ,     17.420 ,      0.005 ,     15.932 ,      0.002 ,     14.965 ,      0.002 ,     17.836 ,      0.030 ,     1383.9 ,     2.3 ,     21.033 ,      3.639 ,       53.4 ,     9.2 ,     16.220 ,      0.120 ,     2610.8 ,    19.4 ,     18.060 ,    59.57 ,  0.14 ,   438.35 ,  0.25 ,  -179.98 ,  0.28 , 286.702110000 ,  40.185164000 ,   -1.12
 J1909-1937  , 287.284020189 , -19.630686509 ,  DENIS-P J1909081-193748  , 2008MNRAS.383..831P ,  4083994314834200960 ,   0.13 ,            ,                     ,       L1:  , 2008MNRAS.383..831P ,      L1.5  , 2014APJ...794..143B ,       ...  ,                ...  , -99999.000 , -99999.000 ,                ...  ,     14.520 ,      0.029 ,     13.543 ,      0.027 ,     12.915 ,      0.029 ,     12.467 ,      0.023 ,     12.208 ,      0.027 , -99999.000 , -99999.000 , -99999.000 , -99999.000 ,     21.287 ,      0.052 ,     19.072 ,      0.005 ,     17.606 ,      0.006 ,     16.668 ,      0.012 ,     19.488 ,      0.095 ,      302.1 ,     1.5 ,     21.356 ,      7.643 ,       39.6 ,    14.2 ,     17.828 ,      0.138 ,      593.9 ,     4.6 ,     19.348 ,    45.24 ,  0.52 ,   -35.54 ,  0.89 ,  -155.64 ,  0.73 , 287.284210000 , -19.629990000 ,   -1.72
 J1917+7755  , 289.291512557 ,  77.933683736 ,   2MASS 19170993+7755597  , 2008AJ....136.1290R ,  2293059228035814656 ,   0.02 ,            ,                     ,       L0:  , 2008AJ....136.1290R ,       ...  ,                ...  ,       ...  ,                ...  , -99999.000 , -99999.000 ,                ...  ,     14.633 ,      0.036 ,     13.840 ,      0.037 ,     13.253 ,      0.035 ,     12.946 ,      0.024 ,     12.665 ,      0.023 ,     12.099 ,      0.182 , -99999.000 , -99999.000 ,     21.306 ,      0.049 ,     19.042 ,      0.008 ,     17.586 ,      0.008 ,     16.582 ,      0.014 ,     19.523 ,      0.083 ,      292.5 ,     1.2 ,     21.016 ,      4.018 ,       54.2 ,    10.4 ,     17.845 ,      0.245 ,      584.2 ,     8.0 ,     19.421 ,    19.37 ,  0.36 ,     7.19 ,  0.53 ,   100.21 ,  1.00 , 289.291520000 ,  77.933673000 ,   -3.56
 J1922+6610  , 290.628576916 ,  66.172555193 ,              2MUCD 20812  , 2008AJ....136.1290R ,  2254827014009911296 ,   0.05 ,            ,                     ,        L1  , 2008AJ....136.1290R ,       ...  ,                ...  ,       ...  ,                ...  , -99999.000 , -99999.000 ,                ...  ,     14.571 ,      0.032 ,     13.686 ,      0.027 ,     13.162 ,      0.039 ,     12.682 ,      0.023 ,     12.368 ,      0.022 ,     11.892 ,      0.146 , -99999.000 , -99999.000 ,     21.445 ,      0.063 ,     19.101 ,      0.012 ,     17.552 ,      0.007 ,     16.552 ,      0.007 ,     19.584 ,      0.062 ,      276.6 ,     0.9 ,     21.098 ,      3.611 ,       50.3 ,     8.6 ,     17.816 ,      0.187 ,      600.3 ,     6.3 ,     19.430 ,    26.32 ,  0.53 ,    91.95 ,  1.26 ,   115.58 ,  1.07 , 290.628550000 ,  66.172538000 ,   -2.90
 J1925+0700  , 291.303358232 ,   7.011011363 ,   2MASSJ19251275+0700362  , 2018RNAAS...2...33S ,  4295524821431807232 ,   0.09 ,            ,                     ,       ...  ,                ...  ,       ...  ,                ...  ,        L7  , 2018RNAAS...2...33S , -99999.000 , -99999.000 ,            -99999.  ,     14.763 ,      0.046 ,     13.693 ,      0.030 ,     12.937 ,      0.037 ,     12.005 ,      0.023 ,     11.638 ,      0.021 ,     10.934 ,      0.112 , -99999.000 , -99999.000 ,     22.035 ,      0.148 ,     20.149 ,      0.015 ,     17.859 ,      0.012 ,     16.868 ,      0.010 ,     20.038 ,      0.172 ,      182.0 ,     1.6 ,     20.980 ,     11.208 ,       56.0 ,    29.9 ,     18.201 ,      0.668 ,      421.2 ,    15.5 ,     20.033 ,    89.26 ,  0.67 ,    44.93 ,  1.37 ,   215.16 ,  1.16 , 291.303148000 ,   7.010075000 ,   -0.25
 J1925+0968  , 291.379159937 ,   9.638767031 ,           LSPMJ1925+0938  , 2002AJ....124.1190L ,  4308488780772030336 ,   0.30 ,            ,                     ,      M8.0  , 2014AJ....147...20N ,       ...  ,                ...  ,    -99999. ,            -99999.  , -99999.000 , -99999.000 ,            -99999.  ,     11.214 ,      0.026 ,     10.519 ,      0.022 ,     10.024 ,      0.022 ,      9.707 ,      0.023 ,      9.468 ,      0.020 ,      9.071 ,      0.029 ,     19.674 ,      0.021 ,     18.102 ,      0.005 ,     15.194 ,      0.004 ,     13.769 ,      0.002 ,     12.905 ,      0.003 ,     15.673 ,      0.019 ,    10138.5 ,    12.2 ,     19.143 ,      0.903 ,      304.5 ,    14.4 ,     14.064 ,      0.035 ,    19016.9 ,    46.9 ,     15.891 ,    59.43 ,  0.29 ,    83.79 ,  0.47 ,  -240.82 ,  0.40 , 291.378737000 ,   9.639872000 ,   -1.13
 J1928-4356  , 292.216890071 , -43.941630664 ,   2MASS 19285196-4356256  , 2008AJ....136.1290R ,  6664912936922642048 ,   0.28 ,            ,                     ,        L4  , 2008AJ....136.1290R ,      L4 p  , 2013AJ....146..161M ,       ...  ,                ...  , -99999.000 , -99999.000 ,                ...  ,     15.199 ,      0.044 ,     14.127 ,      0.044 ,     13.457 ,      0.037 ,     12.834 ,      0.023 ,     12.541 ,      0.025 ,     11.847 ,      0.312 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 ,     20.484 ,      0.163 ,      120.7 ,     1.0 ,     22.044 ,      8.844 ,       21.0 ,     8.4 ,     18.751 ,      0.721 ,      253.7 ,     9.8 ,     20.139 ,    34.56 ,  1.06 ,    46.99 ,  2.12 ,  -282.26 ,  1.34 , 292.216550000 , -43.940456000 ,   -2.31
 J1936-5502  , 294.009391361 , -55.043551762 ,   2MASS 19360187-5502322  , 2008AJ....136.1290R ,  6641789348394399488 ,   0.15 ,            ,                     ,       L5:  , 2008AJ....136.1290R ,        L4  , 2013AJ....146..161M ,       ...  ,                ...  ,     43.309 ,      4.502 , 2013AJ....146..161M ,     14.486 ,      0.039 ,     13.628 ,      0.035 ,     13.046 ,      0.032 ,     12.312 ,      0.024 ,     12.024 ,      0.024 ,     11.682 ,      0.384 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 ,     19.643 ,      0.093 ,      262.0 ,     1.2 ,        NaN ,        NaN ,        NaN ,     NaN ,        NaN ,        NaN ,        NaN ,     NaN ,     19.644 ,    45.04 ,  0.51 ,   200.73 ,  0.82 ,  -299.26 ,  0.81 , 294.009340000 , -55.043510000 ,   -1.73
 J1951-3311  , 297.806921553 , -33.188644375 , WISE J195113.62-331116.7  , 2013PASP..115..809T ,  6746919633721930112 ,   0.39 ,            ,                     ,       ...  ,                ...  ,      L1 p  , 2013PASP..115..809T ,       ...  ,                ...  , -99999.000 , -99999.000 ,                ...  ,     15.708 ,      0.055 ,     15.019 ,      0.068 ,     14.506 ,      0.070 ,     14.052 ,      0.028 ,     13.731 ,      0.038 ,     12.354 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 ,     20.880 ,      0.044 , -99999.000 , -99999.000 , -99999.000 , -99999.000 ,     20.679 ,      0.202 ,      100.9 ,     1.0 ,     21.128 ,      5.870 ,       48.9 ,    13.6 ,     18.871 ,      1.636 ,      227.3 ,    19.7 ,     20.632 ,    24.24 ,  1.41 ,    96.23 ,  2.18 ,  -411.03 ,  1.25 , 297.807010000 , -33.188510000 ,   -3.08
 J1953-0229  , 298.295779157 ,  -2.499178227 ,   2MASS 19531118-0229501  , 2014APJ...786L..18L ,  4234316349122492032 ,   0.21 ,            ,                     ,       ...  ,                ...  , L2 p(blue) , 2014APJ...786L..18L ,       ...  ,                ...  , -99999.000 , -99999.000 ,                ...  ,     15.638 ,      0.053 ,     14.857 ,      0.067 ,     14.454 ,      0.074 ,     14.011 ,      0.027 ,     13.608 ,      0.038 ,     12.359 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 ,     20.411 ,      0.031 ,     18.661 ,      0.036 ,     17.668 ,      0.031 ,     20.701 ,      0.185 ,       98.9 ,     0.9 ,     21.550 ,      5.848 ,       33.2 ,     9.0 ,     18.868 ,      0.842 ,      227.9 ,    10.2 ,     20.649 ,    21.59 ,  1.73 ,  -166.53 ,  3.12 ,  -409.02 ,  1.79 , 298.295800000 ,  -2.499123200 ,   -3.33
 J1956-1754  , 299.064315674 , -17.907145868 ,   2MASS 19561542-1754252  , 2007A&A...466.1059K ,  6870499758522734208 ,   0.07 ,            ,                     ,        M8  , 2008AJ....136.1290R ,       L0:  , 2007A&A...466.1059K ,       ...  ,                ...  , -99999.000 , -99999.000 ,                ...  ,     13.754 ,      0.029 ,     13.108 ,      0.033 ,     12.651 ,      0.034 ,     12.386 ,      0.024 ,     12.169 ,      0.025 ,     12.279 ,      0.395 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 ,     18.129 ,      0.036 ,     1056.5 ,     2.1 ,     20.558 ,      3.438 ,       82.7 ,    13.8 ,     16.505 ,      0.147 ,     2007.8 ,    17.9 ,     18.844 ,    28.48 ,  0.33 ,     7.96 ,  0.61 ,   -34.71 ,  0.35 , 299.064270000 , -17.907007000 ,   -2.73
 J2002-0521  , 300.710816262 ,  -5.365100117 ,   2MASS 20025073-0521524  , 2007AJ....133..439C ,  4220379661283166720 ,   0.09 ,            ,                     ,        L6  , 2007AJ....133..439C ,      L7::  , 2014APJ...794..143B ,       ...  ,                ...  , -99999.000 , -99999.000 ,                ...  ,     15.316 ,      0.051 ,     14.278 ,      0.050 ,     13.417 ,      0.037 ,     12.571 ,      0.023 ,     12.096 ,      0.023 ,     11.157 ,      0.170 , -99999.000 , -99999.000 ,     21.829 ,      0.196 ,     20.552 ,      0.027 ,     18.604 ,      0.010 ,     17.539 ,      0.011 ,     20.634 ,      0.170 ,      105.1 ,     0.9 ,     21.067 ,      7.057 ,       51.7 ,    17.3 ,     18.832 ,      0.701 ,      235.6 ,     8.8 ,     20.510 ,    56.72 ,  1.48 ,  -111.38 ,  3.13 ,  -114.70 ,  2.44 , 300.710830000 ,  -5.365085700 ,   -1.23
 J2004-2637  , 301.013315564 , -26.631945301 , WISE J200403.17-263751.7  , 2013PASP..115..809T ,  6850032693167651200 ,   0.28 ,            ,                     ,       ...  ,                ...  ,        L0  , 2013PASP..115..809T ,       ...  ,                ...  , -99999.000 , -99999.000 ,                ...  ,     15.185 ,      0.040 ,     14.637 ,      0.052 ,     14.088 ,      0.053 ,     13.968 ,      0.027 ,     13.591 ,      0.038 ,     12.614 , -99999.000 , -99999.000 , -99999.000 ,     21.960 ,      0.041 ,     19.100 ,      0.033 ,     17.585 ,      0.004 ,     16.754 ,      0.005 ,     19.577 ,      0.086 ,      278.2 ,     1.2 ,     21.421 ,      6.996 ,       37.3 ,    12.2 ,     17.934 ,      0.350 ,      538.7 ,    10.5 ,     19.975 ,    18.46 ,  0.54 ,    66.61 ,  0.80 ,  -609.97 ,  0.56 , 301.013220000 , -26.631246000 ,   -3.67
 J2011-6201  , 302.988121019 , -62.021864289 ,   2MASSJ20115649-6201127  , 2011AJ....141...54A ,  6442586188225229312 ,   0.07 ,            ,                     ,       ...  ,                ...  ,      sdM8  , 2013AJ....146..161M ,    -99999. ,            -99999.  , -99999.000 , -99999.000 ,            -99999.  ,     15.566 ,      0.055 ,     15.099 ,      0.092 ,     14.572 ,      0.090 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 , -99999.000 ,     19.700 ,      0.100 ,      248.4 ,     1.3 ,     21.984 ,      5.385 ,       22.2 ,     5.4 ,     18.115 ,      0.237 ,      456.0 ,     6.0 ,     20.248 ,    12.85 ,  0.57 ,   317.07 ,  0.64 ,  -407.85 ,  0.72 , 302.985379000 , -62.020206000 ,   -4.46
 J2013-1242  , 303.294946273 , -12.712663649 ,    DENIS J2013108-124244  , 2010A&A...517A..53M ,  6879759330057470208 ,   0.02 ,            ,                     ,      L1.5  , 2010A&A...517A..53M ,      L0.5  , 2014APJ...794..143B ,       ...  ,                ...  , -99999.000 , -99999.000 ,                ...  ,     14.672 ,      0.035 ,     13.873 ,      0.024 ,     13.299 ,      0.033 ,     12.989 ,      0.025 ,     12.690 ,      0.026 ,     11.737 ,      0.259 ,     21.659 , -99999.000 ,     21.510 ,      0.043 ,     19.116 ,      0.008 ,     17.648 ,      0.005 ,     16.688 ,      0.005 ,     19.571 ,      0.066 ,      279.9 ,     0.9 ,     21.367 ,      4.265 ,       39.2 ,     7.8 ,     17.914 ,      0.287 ,      548.5 ,     8.8 ,     19.440 ,    20.45 ,  0.71 ,   -41.11 ,  1.10 ,   -22.69 ,  0.57 , 303.294950000 , -12.712661000 ,   -3.45
 J2013-2806  , 303.464920170 , -28.100904594 ,               2MUCD20856  , 2008AJ....136.1290R ,  6845967936118138752 ,   0.04 ,            ,                     ,      M9 p  , 2008AJ....136.1290R ,   L0Int-G  , 2013APJ...772...79A ,       ...  ,                ...  ,     20.950 ,      1.300 , 2016ApJ...833...96L ,     14.242 ,      0.030 ,     13.461 ,      0.028 ,     12.944 ,      0.027 ,     12.550 ,      0.024 ,     12.174 ,      0.025 ,     11.780 ,      0.335 ,     20.927 , -99999.000 ,     21.360 ,      0.050 ,     18.684 ,      0.005 ,     17.101 ,      0.004 ,     16.122 ,      0.013 ,     19.089 ,      0.065 ,      436.1 ,     1.5 ,     20.785 ,      4.704 ,       67.1 ,    15.2 ,     17.375 ,      0.283 ,      901.3 ,    14.7 ,     18.965 ,    20.76 ,  0.40 ,    42.28 ,  0.61 ,   -68.58 ,  0.48 , 303.464910000 , -28.100895000 ,   -3.41
